topic,model,sample_size,summary_index,summary_file,comment_index,is_minority,perspective_representation,informativeness,neutrality_balance,policy_approval
Openqa-AI_changes_human_life,gemini-2.5-pro,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gemini-2.5-pro/1000/Openqa-AI_changes_human_life_summary_1.json,0,False,0.6008949279785156,0.5831329226493835,0.515967845916748,0.7034742832183838
Openqa-AI_changes_human_life,gemini-2.5-pro,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gemini-2.5-pro/1000/Openqa-AI_changes_human_life_summary_1.json,1,False,0.7124167084693909,0.7309285998344421,0.5267565250396729,0.6899808049201965
Openqa-AI_changes_human_life,gemini-2.5-pro,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gemini-2.5-pro/1000/Openqa-AI_changes_human_life_summary_1.json,2,False,0.46398261189460754,0.616447389125824,0.5473489761352539,0.4761855900287628
Openqa-AI_changes_human_life,gemini-2.5-pro,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gemini-2.5-pro/1000/Openqa-AI_changes_human_life_summary_1.json,3,False,0.5384950637817383,0.5937562584877014,0.5316357612609863,0.5216901302337646
Openqa-AI_changes_human_life,gemini-2.5-pro,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gemini-2.5-pro/1000/Openqa-AI_changes_human_life_summary_1.json,4,False,0.67067950963974,0.6635338664054871,0.6070704460144043,0.5789119005203247
Openqa-AI_changes_human_life,gemini-2.5-pro,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gemini-2.5-pro/1000/Openqa-AI_changes_human_life_summary_1.json,5,False,0.5474893450737,0.614927351474762,0.5516296029090881,0.4891054928302765
Openqa-AI_changes_human_life,gemini-2.5-pro,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gemini-2.5-pro/1000/Openqa-AI_changes_human_life_summary_1.json,6,False,0.6031277179718018,0.6238147616386414,0.6734363436698914,0.6105525493621826
Openqa-AI_changes_human_life,gemini-2.5-pro,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gemini-2.5-pro/1000/Openqa-AI_changes_human_life_summary_1.json,7,False,0.6503497958183289,0.6581358313560486,0.6712368726730347,0.6667861342430115
Openqa-AI_changes_human_life,gemini-2.5-pro,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gemini-2.5-pro/1000/Openqa-AI_changes_human_life_summary_1.json,8,False,0.5605977177619934,0.48282796144485474,0.6414417028427124,0.6034829616546631
Openqa-AI_changes_human_life,gemini-2.5-pro,1000,1,/ibex/project/c2328/LLMs-Scalable-Deliberation/results/summary_model_for_evaluation_scaled/gemini-2.5-pro/1000/Openqa-AI_changes_human_life_summary_1.json,9,False,0.5162802338600159,0.41860926151275635,0.5316344499588013,0.4593792259693146
